item_id,begin,end,width,type
193,122,131,2,0
194,123,124,1,0
195,123,130,1,3
196,123,140,4,2
197,124,125,1,3
198,124,125,3,3
199,124,127,2,0
200,125,126,1,2
201,127,146,1,3
202,128,129,1,0
203,128,130,1,1
204,128,138,1,1
205,129,130,2,0
206,129,130,4,2
207,129,138,2,3
208,130,131,2,1
209,131,132,3,0
210,131,137,5,1
211,132,133,2,0
212,133,134,2,2
213,133,148,3,1
214,134,150,2,0
215,135,142,1,1
216,136,138,1,0
217,138,139,3,3
218,138,141,1,2
219,139,140,5,2
220,140,141,1,2
221,140,141,2,2
222,141,143,2,0
223,142,143,1,3
224,142,143,4,0
225,142,144,5,0
226,142,147,1,1
227,144,145,2,0
228,144,146,1,1
229,144,148,5,0
230,145,146,1,1
231,145,146,1,2
232,145,164,2,3
233,146,147,3,3
234,147,149,3,1
235,147,163,1,1
236,148,150,4,0
237,149,150,1,3
238,149,150,3,2
239,149,151,1,0
240,150,153,2,1
241,150,156,1,1
242,150,156,1,2
243,151,152,1,0
244,151,152,2,1
245,151,152,4,1
246,151,153,3,3
247,153,154,1,0
248,153,154,2,1
249,153,158,4,2
250,153,167,1,0
251,154,157,2,1
252,154,157,2,1
253,154,158,2,0
254,155,156,1,3
255,155,158,1,1
256,155,159,1,2
257,158,159,5,1
258,158,162,2,0
259,159,160,3,2
260,159,161,5,1
261,160,161,2,2
262,160,161,2,3
263,160,168,1,0
264,161,162,2,0
265,161,162,2,3
266,162,163,5,1
267,162,164,4,2
268,163,165,1,3
269,163,172,1,0
270,163,177,2,0
271,164,165,1,1
272,164,165,4,1
273,164,166,1,0
274,164,167,2,2
275,165,166,1,1
276,165,166,3,3
277,165,169,2,3
278,166,168,2,2
279,166,177,4,2
280,167,168,3,0
281,167,181,2,2
282,168,169,1,1
283,168,169,1,2
284,168,179,1,1
285,169,170,1,1
286,169,177,4,2
287,170,171,4,3
288,170,173,1,2
289,172,188,5,0
290,173,174,1,0
291,175,176,2,2
292,177,178,1,3
293,177,184,1,1
294,178,179,2,2
295,178,180,1,3
296,178,181,3,2
297,178,181,4,1
298,179,180,1,0
299,181,184,3,2
300,181,187,2,0
301,182,183,1,0
302,182,183,2,0
303,183,184,5,0
304,183,185,1,1
305,184,185,2,1
306,185,186,1,3
307,185,187,1,2
308,185,187,3,1
309,185,187,5,3
310,186,187,2,0
311,187,188,2,2
312,188,189,2,1
313,188,191,2,0
314,188,191,2,3
315,188,191,5,1
316,189,190,3,2
317,189,191,5,0
318,190,191,3,0
319,191,193,1,3
320,191,195,2,2
321,192,193,2,0
322,192,193,2,2
323,192,193,2,2
324,192,195,1,0
325,192,201,3,3
326,192,209,4,0
327,193,194,2,2
328,193,198,1,0
329,194,195,1,0
330,194,195,1,2
331,194,196,1,2
332,194,197,3,0
333,194,198,1,2
334,195,196,2,1
335,196,206,2,3
336,197,202,3,0
337,198,199,2,2
338,198,199,4,1
339,199,200,1,2
340,200,201,1,0
341,200,201,1,2
342,200,201,2,2
343,200,208,3,0
344,202,204,4,3
345,202,211,4,0
346,203,205,1,3
347,204,206,2,1
348,206,208,5,3
349,207,212,1,1
350,208,209,1,3
351,208,209,1,3
352,208,211,1,3
353,209,210,3,3
354,209,211,2,1
355,209,215,2,1
356,210,211,2,3
357,210,213,5,2
358,211,212,2,1
359,212,213,1,2
360,212,215,1,0
361,212,216,5,0
362,212,219,1,3
363,212,219,2,3
364,213,214,2,2
365,214,217,5,1
366,214,227,2,1
367,215,226,2,3
368,216,218,1,0
369,217,223,4,0
370,217,229,3,2
371,218,219,1,3
372,218,233,2,3
373,219,222,1,0
374,219,224,2,2
375,220,221,4,3
376,223,230,5,3
377,224,225,1,2
378,224,225,1,2
379,224,226,1,0
380,224,235,1,2
381,225,237,2,3
382,226,227,1,1
383,226,227,1,2
384,227,238,3,0
385,230,231,1,0
386,230,231,1,2
387,230,231,1,2
388,231,232,1,1
389,232,233,4,2
390,232,234,1,3
391,232,234,2,2
392,233,234,2,0
393,233,235,2,0
394,233,239,1,3
395,235,236,1,2
396,235,236,5,2
397,235,238,4,0
398,235,245,1,0
399,236,237,1,1
400,236,250,2,0
401,237,242,3,2
402,238,241,3,2
403,238,256,3,1
404,239,244,1,0
405,239,244,2,3
406,239,254,4,0
407,240,241,1,3
408,242,243,4,3
409,243,244,1,2
410,243,251,2,1
411,244,245,1,3
412,244,246,2,2
413,245,246,2,3
414,245,246,3,3
415,246,247,2,2
416,247,248,1,3
417,247,251,5,1
418,247,256,1,1
419,248,249,2,1
420,249,250,1,1
421,250,252,1,2
422,251,252,4,1
423,252,253,1,0
424,253,254,1,3
425,253,255,2,3
426,253,255,3,3
427,253,256,5,1
428,254,256,1,0
429,255,273,3,1
430,256,257,3,3
431,256,259,2,2
432,257,258,1,0
433,257,258,4,1
434,257,261,2,0
435,257,262,3,0
436,258,259,1,1
437,258,260,1,2
438,259,260,4,0
439,259,269,1,0
440,260,261,1,0
441,260,261,1,2
442,260,266,1,2
443,261,263,3,0
444,262,264,2,1
445,262,266,4,3
446,263,274,3,2
447,264,266,1,2
448,264,268,1,3
449,265,284,4,1
450,267,268,1,0
451,268,272,5,0
452,270,272,1,1
453,272,273,1,1
454,274,275,1,0
455,274,275,2,3
456,274,275,4,1
457,274,287,3,1
458,274,292,2,0
459,276,280,5,2
460,276,288,5,2
461,281,283,1,1
462,282,283,1,3
463,282,286,3,3
464,284,286,2,0
465,285,287,4,3
466,287,289,1,3
467,287,291,4,0
468,288,289,1,3
469,288,291,1,1
470,289,290,3,1
471,289,292,1,1
472,289,292,4,3
473,289,294,1,0
474,289,300,2,0
475,290,291,2,3
476,292,296,4,0
477,292,299,3,3
478,294,299,5,2
479,294,306,2,3
480,295,304,1,2
481,297,298,4,1
482,299,300,1,2
483,299,301,1,1
484,299,301,1,2
485,299,311,1,3
486,300,301,1,3
487,300,316,1,2
488,300,318,2,2
489,301,303,5,3
490,301,304,1,0
491,301,310,4,1
492,302,311,3,0
493,304,309,5,1
494,306,312,1,2
495,308,309,1,2
496,308,310,1,0
497,310,325,5,2
498,311,312,5,2
499,312,313,2,1
500,312,319,2,1
501,314,320,4,1
502,314,324,1,2
503,318,320,5,0
504,319,320,3,0
505,320,321,2,2
506,321,322,1,0
507,321,322,1,2
508,321,324,1,2
509,321,335,4,1
510,323,326,4,0
511,323,330,1,1
512,325,332,2,2
513,327,328,1,1
514,327,328,1,3
515,327,328,2,1
516,327,331,4,3
517,327,340,1,3
518,329,330,4,1
519,331,332,2,3
520,331,349,3,2
521,332,333,3,0
522,332,334,1,3
523,333,334,1,0
524,334,335,3,0
525,334,336,2,1
526,334,338,1,0
527,335,341,1,0
528,336,337,4,0
529,336,340,4,3
530,337,338,2,2
531,339,346,5,1
532,339,349,2,2
533,340,344,3,3
534,341,343,5,1
535,341,347,1,0
536,342,349,1,0
537,344,349,5,0
538,345,356,1,2
539,346,347,1,0
540,346,347,1,1
541,347,348,4,2
542,347,353,1,2
543,349,350,1,0
544,349,350,5,1
545,349,353,1,0
546,350,351,1,0
547,350,351,1,1
548,350,351,2,3
549,351,352,1,2
550,351,352,3,3
551,351,352,4,2
552,351,354,2,2
553,351,368,2,3
554,352,353,2,3
555,352,355,1,2
556,352,357,2,3
557,353,356,4,1
558,353,359,4,0
559,354,355,1,0
560,354,355,2,1
561,354,359,1,1
562,356,357,4,2
563,356,358,1,1
564,356,368,1,1
565,357,359,5,2
566,358,359,1,3
567,359,360,1,0
568,359,361,3,2
569,359,367,2,3
570,360,361,4,3
571,360,375,2,1
572,361,364,5,1
573,361,367,1,0
574,362,363,1,1
575,362,363,4,1
576,362,368,2,3
577,364,369,3,3
578,364,383,2,2
579,365,366,1,3
580,365,368,4,2
581,367,386,1,1
582,368,373,1,2
583,369,371,3,1
584,369,372,4,2
585,369,374,2,0
586,369,380,2,1
587,371,372,1,2
588,371,373,2,3
589,372,388,3,3
590,373,374,4,0
591,374,376,1,1
592,374,376,1,1
593,374,383,2,0
594,375,376,5,2
595,376,389,3,1
596,377,378,1,0
597,377,378,1,2
598,377,378,4,0
599,377,382,1,3
600,379,382,1,3
601,379,383,5,3
602,381,382,1,1
603,381,387,1,0
604,383,386,3,0
605,384,385,1,0
606,384,387,2,2
607,385,386,1,0
608,385,388,4,2
609,386,387,1,2
610,387,391,5,1
611,388,389,1,1
612,388,389,2,1
613,388,390,1,1
614,389,390,1,0
615,389,390,1,1
616,389,390,1,3
617,389,395,1,2
618,390,394,5,1
619,390,397,1,0
620,391,393,1,1
621,391,393,2,3
622,391,395,3,3
623,391,403,1,1
624,392,393,1,2
625,393,403,4,3
626,394,396,3,3
627,394,409,1,2
628,395,398,2,1
629,396,413,2,1
630,396,414,5,3
631,397,398,1,0
632,397,398,1,1
633,397,401,1,1
634,399,412,5,0
635,400,405,1,2
636,402,405,1,1
637,404,405,2,1
638,404,413,3,0
639,406,407,1,2
640,406,407,1,3
641,406,408,2,3
642,408,414,1,1
643,409,410,1,1
644,410,414,2,2
645,411,412,1,0
646,413,419,1,2
647,413,424,3,0
648,413,425,3,0
649,414,416,4,0
650,414,418,1,3
651,415,417,3,1
652,415,418,4,1
653,416,420,1,1
654,417,419,1,1
655,418,421,3,0
656,420,425,4,3
657,420,427,3,2
658,421,422,1,3
659,423,424,3,2
660,423,424,4,2
661,425,426,1,1
662,425,426,3,1
663,425,426,4,1
664,425,429,2,1
665,426,427,2,1
666,426,428,3,0
667,427,428,1,3
668,427,431,5,1
669,427,441,4,3
670,428,429,5,3
671,429,439,4,1
672,430,431,1,0
673,430,431,1,3
674,430,435,4,3
675,431,434,1,2
676,432,433,3,1
677,432,435,2,0
678,432,435,2,1
679,435,438,2,1
680,435,452,2,3
681,436,438,1,3
682,437,439,5,0
683,437,450,2,1
684,439,454,3,0
685,440,442,1,0
686,441,442,1,0
687,441,442,2,3
688,441,443,5,3
689,442,443,1,2
690,442,445,2,1
691,442,446,1,1
692,443,445,3,2
693,443,451,1,1
694,444,445,2,2
695,444,448,2,3
696,444,460,2,3
697,446,447,1,0
698,446,447,1,0
699,446,447,1,1
700,446,448,2,0
701,447,456,3,2
702,448,460,3,3
703,449,450,3,1
704,449,452,1,1
705,451,454,5,0
706,452,453,1,3
707,454,463,2,0
708,454,467,2,1
709,455,457,1,2
710,455,458,2,1
711,455,460,1,0
712,455,466,1,0
713,456,457,1,0
714,456,458,2,3
715,457,458,1,2
716,457,459,2,1
717,458,459,2,2
718,459,463,3,0
719,459,465,1,0
720,459,469,1,1
721,462,464,2,3
722,462,465,4,1
723,464,465,5,0
724,465,466,1,0
725,466,467,1,1
726,466,467,1,2
727,466,467,5,0
728,466,468,4,0
729,467,470,1,2
730,467,479,1,2
731,468,470,1,3
732,468,470,3,0
733,468,475,5,3
734,469,472,2,1
735,470,484,2,3
736,470,485,1,1
737,471,473,1,3
738,471,480,4,3
739,474,483,2,0
740,474,489,5,3
741,476,478,1,3
742,476,480,4,2
743,479,496,1,1
744,480,481,1,1
745,481,482,4,0
746,481,484,1,3
747,481,490,1,3
748,482,483,2,2
749,482,484,1,2
750,483,484,1,1
751,483,484,1,2
752,484,485,5,0
753,484,493,1,0
754,485,489,3,2
755,485,495,3,1
756,486,487,1,1
757,486,487,1,1
758,486,487,2,2
759,487,488,1,0
760,487,488,1,2
761,488,490,4,1
762,489,491,1,3
763,489,491,1,3
764,490,493,3,3
765,491,493,1,0
766,491,493,1,2
767,491,496,3,0
768,492,493,1,2
769,492,493,1,3
770,493,495,2,3
771,493,497,1,3
772,494,496,5,3
773,494,498,4,1
774,494,499,1,1
775,496,497,1,3
776,496,497,3,1
777,497,499,5,0
778,497,505,5,0
779,498,508,1,3
780,498,514,4,3
781,499,500,1,3
782,499,501,3,3
783,500,501,1,1
784,500,501,1,3
785,500,514,2,1
786,501,511,3,1
787,502,508,3,3
788,502,510,2,3
789,506,507,5,0
790,508,509,2,2
791,509,510,1,1
792,509,514,1,2
793,509,523,5,1
794,510,518,1,1
795,510,520,1,3
796,511,512,3,1
797,512,522,3,1
798,513,518,3,1
799,515,516,1,0
800,515,516,4,3
801,516,517,2,1
802,517,518,2,1
803,517,530,3,2
804,518,521,1,2
805,519,520,1,3
806,519,520,2,2
807,519,521,3,0
808,521,528,4,2
809,522,523,5,2
810,523,527,2,2
811,523,535,1,3
812,524,540,2,1
813,525,528,5,2
814,525,535,2,2
815,525,542,1,2
816,528,530,1,0
817,528,532,1,1
818,529,530,1,3
819,529,541,2,1
820,530,535,5,1
821,531,534,1,3
822,531,534,5,1
823,533,534,1,3
824,535,536,5,1
825,535,538,1,3
826,535,553,1,3
827,536,537,4,0
828,536,541,1,1
829,537,539,2,2
830,537,549,2,0
831,538,544,1,0
832,539,542,3,0
833,539,552,5,2
834,540,542,1,2
835,540,549,1,3
836,541,543,1,0
837,542,543,1,2
838,542,543,3,0
839,543,550,1,1
840,543,554,3,2
841,543,561,1,3
842,544,545,1,3
843,544,545,4,3
844,545,547,1,3
845,546,547,1,0
846,546,547,1,2
847,546,548,1,1
848,546,556,1,2
849,547,548,1,2
850,548,549,3,1
851,549,550,2,0
852,550,556,4,0
853,550,558,1,3
854,551,559,4,2
855,553,554,3,0
856,554,556,1,1
857,554,559,2,1
858,555,558,1,1
859,556,558,4,2
860,557,558,2,2
861,558,561,4,3
862,559,560,4,1
863,559,562,2,1
864,560,561,2,1
865,560,561,2,1
866,560,562,5,0
867,561,562,2,0
868,562,563,2,0
869,562,563,5,3
870,563,564,1,1
871,563,565,5,0
872,563,568,1,3
873,563,568,4,2
874,564,565,1,2
875,564,566,4,0
876,565,566,3,3
877,565,570,1,2
878,565,572,1,1
879,566,567,2,3
880,566,567,3,0
881,566,568,1,3
882,567,568,1,2
883,567,570,5,2
884,567,572,1,1
885,568,569,2,0
886,568,570,2,3
887,569,576,4,1
888,569,577,2,3
889,569,586,2,2
890,570,576,1,2
891,571,572,3,2
892,571,580,1,1
893,572,573,1,1
894,572,575,2,1
895,572,576,1,2
896,573,574,2,3
897,574,577,5,1
898,575,588,2,3
899,576,579,2,3
900,577,578,2,1
901,577,580,3,3
902,578,579,1,1
903,578,579,1,3
904,578,594,5,3
905,579,580,3,0
906,581,582,5,0
907,581,582,5,2
908,581,589,1,1
909,583,584,1,0
910,583,584,5,1
911,583,586,4,2
912,585,595,2,3
913,586,588,1,2
914,586,588,3,1
915,587,588,1,2
916,588,589,1,1
917,588,589,1,1
918,588,591,3,1
919,589,590,4,3
920,589,591,1,2
921,589,595,2,0
922,590,596,3,3
923,591,594,2,2
924,591,595,2,2
925,592,593,1,0
926,592,593,2,1
927,592,595,1,1
928,594,596,1,1
929,594,596,2,3
930,595,596,1,0
931,595,596,2,3
932,595,599,1,3
933,596,597,2,2
934,596,597,5,2
935,596,604,1,0
936,596,610,2,1
937,597,598,2,3
938,597,598,4,3
939,597,599,2,0
940,597,603,1,1
941,598,599,3,3
942,598,603,4,2
943,599,600,1,0
944,599,600,4,0
945,599,601,1,1
946,600,601,2,3
947,600,617,4,2
948,601,602,2,1
949,601,603,2,1
950,601,617,1,2
951,604,605,1,3
952,604,607,2,0
953,604,621,1,2
954,605,620,4,3
955,606,607,3,2
956,606,610,1,0
957,607,608,2,3
958,608,609,1,2
959,608,611,4,3
960,610,620,2,3
961,611,627,3,2
962,613,614,1,1
963,613,614,1,2
964,613,615,1,1
965,613,629,1,2
966,615,619,2,0
967,618,619,2,1
968,618,622,3,0
969,620,623,4,1
970,621,626,3,0
971,622,624,3,2
972,622,625,1,3
973,623,624,2,1
974,623,625,1,1
975,624,625,2,2
976,625,626,1,1
977,625,628,4,0
978,625,629,2,1
979,626,628,3,3
980,626,629,1,1
981,627,632,4,3
982,628,629,1,0
983,628,629,1,3
984,628,630,1,0
985,629,630,4,2
986,629,631,1,2
987,630,631,2,2
988,630,631,4,0
989,631,632,2,2
990,631,633,5,2
991,632,634,4,1
992,633,634,4,1
993,633,635,2,0
994,633,635,5,0
995,634,635,2,0
996,634,635,3,0
997,635,636,2,1
998,635,637,1,3
999,635,639,5,0
1000,636,637,2,1
1001,636,637,2,2
1002,636,638,1,3
1003,636,638,3,2
1004,636,638,4,0
1005,637,639,1,3
1006,638,639,1,2
1007,638,639,2,1
1008,638,639,3,0
1009,639,640,3,3
1010,639,640,5,2
1011,640,641,5,2
1012,640,642,1,1
1013,640,642,1,2
1014,641,643,5,3
1015,641,646,2,0
1016,641,653,1,1
1017,642,643,1,0
1018,642,643,3,3
1019,642,646,1,2
1020,643,644,1,2
1021,643,644,4,3
1022,643,646,2,0
1023,644,649,5,3
1024,644,661,4,0
1025,645,646,5,2
1026,647,648,1,1
1027,647,648,1,1
1028,647,648,2,2
1029,647,648,4,2
1030,648,653,2,3
1031,649,658,4,0
1032,649,661,4,3
1033,650,651,2,0
1034,650,660,3,1
1035,652,653,1,3
1036,653,657,1,1
1037,654,655,1,3
1038,654,656,2,3
1039,655,657,1,0
1040,656,657,1,1
1041,658,660,4,2
1042,658,674,1,3
1043,660,661,1,1
1044,660,672,3,0
1045,661,662,2,1
1046,661,667,3,3
1047,662,663,1,2
1048,662,663,2,1
1049,662,664,3,2
1050,662,666,4,0
1051,663,664,1,0
1052,664,667,2,2
1053,664,667,2,2
1054,665,669,2,1
1055,667,668,4,2
1056,668,671,3,3
1057,668,672,2,1
1058,669,671,2,0
1059,669,671,3,0
1060,671,672,2,2
1061,672,674,3,1
1062,672,681,3,3
1063,672,682,3,1
1064,673,676,5,0
1065,673,680,1,2
1066,674,692,4,1
1067,676,677,4,3
1068,677,678,1,0
1069,677,678,1,1
1070,677,678,3,1
1071,679,681,2,1
1072,679,688,5,0
1073,680,681,1,1
1074,680,683,1,1
1075,682,683,2,2
1076,682,686,2,3
1077,682,686,3,1
1078,683,684,1,0
1079,683,694,2,2
1080,684,691,1,0
1081,684,692,2,0
1082,685,689,1,0
1083,687,688,1,2
1084,687,688,1,3
1085,688,689,3,2
1086,689,704,4,2
1087,690,694,4,1
1088,690,701,2,3
1089,691,692,1,1
1090,693,694,2,0
1091,693,698,2,1
1092,693,701,4,2
1093,695,698,1,0
1094,695,698,1,1
1095,695,709,3,0
1096,696,699,3,1
1097,699,702,3,2
1098,699,709,1,2
1099,700,701,2,1
1100,700,703,1,3
1101,702,703,4,3
1102,703,704,3,3
1103,703,711,1,2
1104,703,718,1,3
1105,704,714,4,2
1106,705,706,1,0
1107,705,706,1,3
1108,705,706,5,2
1109,707,714,1,2
1110,707,717,3,3
1111,707,718,5,2
1112,710,711,1,3
1113,711,715,4,0
1114,712,714,2,3
1115,715,716,1,0
1116,715,716,1,0
1117,715,716,1,2
1118,715,716,1,2
1119,715,716,3,1
1120,716,718,1,3
1121,717,719,2,1
1122,717,719,3,1
1123,717,719,5,1
1124,718,719,3,3
